,,mean,mean,mean,std,std,std,effect_immediate,effect_3months,r_square_immediate,r_square_3months
,,score,score,score,score,score,score,,,,
sample,,1,2,3,1,2,3,,,,
email,outcome,,,,,,,,,,
DustinHenderson@test.com,General Self Concept,3.0,5.5,5.75,2.160246899469287,0.5773502691896257,0.9574271077563381,1.5811388300841895,0.31622776601683794,0.3846153846153845,0.02439024390243903
DustinHenderson@test.com,Intelligent Self Concept,6.0,6.0,6.6,1.4142135623730951,1.4142135623730951,0.5477225575051663,0.0,0.5595028849441878,0.0,0.07258064516129022
DustinHenderson@test.com,Resilience (Recovery from Setbacks),3.6666666666666665,5.5,5.666666666666667,1.3662601021279464,1.51657508881031,1.0327955589886444,1.2701705922171769,0.12845874888467723,0.2874109263657958,0.004108463434675446
DustinHenderson@test.com,Respect Personal Boundaries,5.0,6.0,5.8,1.7320508075688774,0.7071067811865476,1.0954451150103321,0.7559289460184544,-0.21693045781865639,0.12499999999999997,0.011627906976744208
DustinHenderson@test.com,Social Self Concept,2.2,4.8,5.4,0.447213595499958,0.4472135954999579,0.5477225575051662,5.813776741499453,1.200000000000001,0.8941798941798942,0.2647058823529415
LukeSinclair@test.com,General Self Concept,4.75,6.25,6.75,0.4999999999999999,0.9574271077563381,1.5,1.9639610121239317,0.3973597071195132,0.490909090909091,0.037974683544303806
LukeSinclair@test.com,Intelligent Self Concept,3.4,5.2,5.6,0.8944271909999159,0.4472135954999579,0.5477225575051662,2.545584412271572,0.7999999999999989,0.618320610687023,0.1379310344827583
LukeSinclair@test.com,Resilience (Recovery from Setbacks),3.6666666666666665,5.5,5.666666666666667,0.5163977794943223,1.0488088481701514,1.2110601416389966,2.217814056000158,0.1471224715841252,0.5515041020966273,0.005382131324004325
LukeSinclair@test.com,Respect Personal Boundaries,5.0,5.4,5.6,0.7071067811865475,0.5477225575051662,0.5477225575051662,0.6324555320336764,0.3651483716701094,0.09090909090909106,0.0322580645161288
LukeSinclair@test.com,Social Self Concept,4.4,5.8,5.8,1.3416407864998738,0.8366600265340756,0.8366600265340756,1.2521980673998816,0.0,0.2816091954022987,0.0
MadMax_Hayfield@test.com,General Self Concept,3.75,5.25,5.75,2.0615528128088303,0.9574271077563381,0.4999999999999999,0.9332565252573827,0.6546536707079772,0.17880794701986752,0.09677419354838711
MadMax_Hayfield@test.com,Intelligent Self Concept,4.4,5.0,5.6,1.5165750888103102,2.1213203435596424,1.3416407864998738,0.3253956867279841,0.33806170189140644,0.02578796561604582,0.02777777777777775
MadMax_Hayfield@test.com,Resilience (Recovery from Setbacks),2.5,4.833333333333333,6.0,0.8366600265340756,0.7527726527090811,0.8944271909999159,2.931977358041868,1.411336217454646,0.6824512534818941,0.33242876526458626
MadMax_Hayfield@test.com,Respect Personal Boundaries,3.8,5.0,5.6,0.8366600265340756,0.7071067811865476,0.5477225575051662,1.549193338482967,0.9486832980505131,0.3750000000000001,0.1836734693877549
MadMax_Hayfield@test.com,Social Self Concept,3.2,4.8,5.4,1.6431676725154982,1.4832396974191326,0.8944271909999157,1.0222025039999036,0.4898979485566361,0.20711974110032355,0.056603773584905766
MikeWheeler@test.com,General Self Concept,2.0,5.5,5.5,0.0,1.2909944487358056,1.2909944487358056,3.834057902536163,0.0,0.786096256684492,0.0
MikeWheeler@test.com,Intelligent Self Concept,5.2,6.2,7.2,2.16794833886788,1.6431676725154984,0.8366600265340757,0.5198752449100363,0.7669649888473704,0.06329113924050633,0.1282051282051282
MikeWheeler@test.com,Resilience (Recovery from Setbacks),2.0,6.166666666666667,6.0,0.0,0.752772652709081,0.6324555320336758,7.827803638564369,-0.2397316507426925,0.9387203364373685,0.014164305949008549
MikeWheeler@test.com,Respect Personal Boundaries,3.6,6.2,6.6,2.0736441353327724,1.3038404810405297,0.894427190999916,1.501110699893027,0.35777087639996585,0.3603411513859275,0.031007751937984416
MikeWheeler@test.com,Social Self Concept,2.4,5.0,5.2,2.073644135332772,1.224744871391589,0.8366600265340756,1.5267725707382291,0.19069251784911867,0.3681917211328976,0.00900900900900903
SteveHarrington@test.com,General Self Concept,6.25,7.25,7.75,1.2583057392117916,0.9574271077563382,0.5,0.8944271909999159,0.6546536707079771,0.16666666666666666,0.09677419354838708
SteveHarrington@test.com,Intelligent Self Concept,3.2,4.0,5.4,1.7888543819998317,1.5811388300841898,0.8944271909999159,0.47387910220727375,1.0898985218261323,0.05315614617940197,0.22897196261682246
SteveHarrington@test.com,Resilience (Recovery from Setbacks),2.5,5.166666666666667,6.0,1.0488088481701516,0.752772652709081,0.6324555320336759,2.921186973360886,1.19865825371346,0.6808510638297873,0.2642706131078223
SteveHarrington@test.com,Respect Personal Boundaries,4.0,5.2,5.6,2.0,0.8366600265340753,0.8944271909999159,0.7827936876641308,0.4618802153517001,0.1328413284132842,0.05063291139240495
SteveHarrington@test.com,Social Self Concept,7.0,7.0,7.4,1.414213562373095,1.414213562373095,0.894427190999916,0.0,0.33806170189140694,0.0,0.027777777777777825
WillByers@test.com,General Self Concept,4.0,4.0,4.0,0.0,0.0,0.0,,,,
WillByers@test.com,Intelligent Self Concept,4.0,4.0,4.0,0.0,0.0,0.0,,,,
WillByers@test.com,Resilience (Recovery from Setbacks),4.0,4.0,4.0,0.0,0.0,0.0,,,,
WillByers@test.com,Respect Personal Boundaries,4.0,4.0,4.0,0.0,0.0,0.0,,,,
WillByers@test.com,Social Self Concept,4.0,4.0,4.0,0.0,0.0,0.0,,,,
eleven@research.com,General Self Concept,3.75,5.5,6.25,3.0956959368344514,1.7320508075688774,1.2583057392117916,0.6976782688943503,0.49543369430686224,0.10848708487084872,0.057815845824411134
eleven@research.com,Intelligent Self Concept,7.2,7.4,7.4,1.3038404810405297,0.8944271909999161,0.8944271909999161,0.17888543819998332,0.0,0.007936507936507948,0.0
eleven@research.com,Resilience (Recovery from Setbacks),5.5,6.166666666666667,6.5,0.5477225575051661,0.7527726527090809,0.5477225575051661,1.0127393670836673,0.506369683541833,0.20408163265306145,0.0602409638554216
eleven@research.com,Respect Personal Boundaries,2.2,4.2,5.0,1.6431676725154984,0.8366600265340756,0.0,1.5339299776947408,1.3522468075656262,0.37037037037037035,0.3137254901960783
eleven@research.com,Social Self Concept,1.0,4.2,5.4,0.0,0.8366600265340756,0.8944271909999159,5.408987230262507,1.385640646055102,0.8797250859106529,0.3243243243243244
